,state,total_confirmed,new_confirmed,total_discharged,new_dicharged,total_deaths,new_deaths,total_active,date
0,Lagos,"11,520",153,"1,691",15,133,1,"9,696",2020-07-07
1,FCT,"2,322",41,691,28,35,0,"1,596",2020-07-07
2,Oyo,"1,530",0,811,2,19,0,700,2020-07-07
3,Edo,"1,489",54,880,40,54,4,555,2020-07-07
4,Delta,"1,285",0,407,0,25,0,853,2020-07-07
5,Kano,"1,271",3,"1,029",0,52,0,190,2020-07-07
6,Rivers,"1,235",30,796,2,43,2,396,2020-07-07
7,Ogun,"1,050",3,652,11,21,0,377,2020-07-07
8,Kaduna,883,15,580,1,12,0,291,2020-07-07
9,Katsina,628,0,441,0,23,0,164,2020-07-07
10,Borno,555,8,448,2,34,1,73,2020-07-07
11,Ondo,550,76,124,0,20,0,406,2020-07-07
12,Gombe,521,1,380,3,21,0,120,2020-07-07
13,Bauchi,516,0,485,10,12,0,19,2020-07-07
14,Ebonyi,503,0,426,57,6,3,71,2020-07-07
15,Plateau,460,6,241,22,14,0,205,2020-07-07
16,Enugu,418,37,255,20,11,1,152,2020-07-07
17,Abia,400,9,218,0,3,0,179,2020-07-07
18,Imo,352,0,61,11,8,2,283,2020-07-07
19,Jigawa,318,0,308,0,10,0,0,2020-07-07
20,Kwara,297,13,162,1,9,0,126,2020-07-07
21,Bayelsa,269,1,137,10,16,0,116,2020-07-07
22,Nasarawa,234,2,113,0,8,0,113,2020-07-07
23,Osun,198,20,84,25,7,0,107,2020-07-07
24,Sokoto,153,0,125,0,16,0,12,2020-07-07
25,Niger,122,0,87,12,7,0,28,2020-07-07
26,Benue,121,24,35,2,6,1,80,2020-07-07
27,Akwa Ibom,112,0,71,0,3,0,38,2020-07-07
28,Adamawa,99,0,71,0,7,0,21,2020-07-07
29,Kebbi,86,2,63,5,7,0,16,2020-07-07
30,Zamfara,76,0,71,0,5,0,0,2020-07-07
31,Anambra,73,0,57,0,9,0,7,2020-07-07
32,Yobe,61,0,51,0,8,0,2,2020-07-07
33,Ekiti,45,0,40,0,2,0,3,2020-07-07
34,Taraba,27,5,11,1,0,0,16,2020-07-07
35,Cross River,5,0,3,0,1,0,1,2020-07-07
36,Kogi,5,0,3,0,2,0,0,2020-07-07
