,Abia,Adamawa,Akwa Ibom,Anambra,Bauchi,Bayelsa,Benue,Borno,Cross River,Delta,Ebonyi,Edo,Ekiti,Enugu,FCT,Gombe,Imo,Jigawa,Kaduna,Kano,Katsina,Kebbi,Kogi,Kwara,Lagos,Nasarawa,Niger,Ogun,Ondo,Osun,Oyo,Plateau,Rivers,Sokoto,Taraba,Yobe,Zamfara
2020-08-18 22:20:18+00:00,2,0,0,4,11,0,0,0,0,0,3,19,0,10,45,0,0,0,6,0,0,0,0,7,210,12,0,16,30,0,13,21,1,0,0,0,0
2020-08-17 22:25:45+00:00,28,0,0,21,13,0,0,0,0,7,9,7,0,6,1,2,0,0,44,1,0,0,0,0,207,0,3,1,38,0,9,20,0,0,0,0,0
2020-08-16 22:27:47+00:00,0,0,4,0,1,0,0,3,4,0,0,8,2,0,15,0,0,0,49,1,0,0,0,0,47,0,0,18,14,17,6,108,1,0,0,0,0
2020-08-15 22:26:18+00:00,0,0,0,0,1,0,0,1,0,0,20,9,4,17,49,28,12,0,11,1,0,0,0,18,87,1,0,10,8,8,9,19,12,0,0,0,0
2020-08-14 22:42:06+00:00,0,0,5,0,1,6,0,4,0,13,3,15,6,4,33,1,0,0,49,16,0,0,0,0,113,1,1,14,0,10,8,24,2,0,0,0,0
2020-08-13 22:39:28+00:00,14,0,0,0,1,0,0,1,0,5,0,0,0,7,35,12,9,0,40,17,0,0,0,6,69,1,2,15,17,41,40,22,19,0,0,0,0
2020-08-12 22:29:55+00:00,0,0,6,0,1,0,0,7,0,8,20,0,1,55,72,0,0,0,38,1,0,0,0,0,113,0,0,9,32,26,5,59,0,0,0,0,0
2020-08-11 22:17:25+00:00,19,0,0,14,1,0,21,0,0,17,18,1,11,0,40,4,6,0,15,9,0,0,0,17,117,1,0,19,35,24,3,0,28,0,3,0,0
2020-08-10 22:21:00+00:00,0,0,0,0,0,0,0,2,5,0,0,16,4,9,18,0,3,0,15,8,0,0,0,8,82,0,0,9,5,0,19,82,5,0,0,0,0
2020-08-09 22:17:45+00:00,0,0,0,0,1,0,0,6,0,0,19,6,17,0,91,2,0,0,32,4,0,0,0,24,107,3,0,30,0,3,8,81,0,0,3,0,0
2020-08-08 22:21:40+00:00,19,0,1,0,0,0,53,30,0,39,13,0,2,25,75,3,0,0,16,13,0,0,0,7,71,0,0,9,6,20,17,24,1,0,0,0,0
2020-08-07 22:25:49+00:00,0,9,0,0,2,4,0,18,0,0,0,27,0,0,60,6,4,0,20,1,0,0,0,11,70,7,0,2,35,19,18,103,27,0,0,0,0
2020-08-06 22:32:12+00:00,0,0,13,0,6,0,0,6,0,16,19,12,6,0,78,0,0,0,23,9,0,0,0,15,76,17,0,12,0,0,18,11,17,0,0,0,0
2020-08-05 22:16:11+00:00,23,0,0,7,3,0,0,0,10,12,11,11,1,34,76,0,3,0,9,1,0,0,0,10,137,2,0,5,0,2,25,40,35,0,0,0,0
2020-08-04 22:44:28+00:00,0,12,0,0,4,3,0,15,0,9,0,6,0,0,90,0,0,0,0,1,0,0,0,4,59,2,3,4,39,4,11,3,17,0,18,0,0
2020-08-03 22:31:45+00:00,20,0,0,0,1,0,0,0,0,10,0,0,0,25,25,8,0,0,17,0,1,0,0,33,88,0,0,4,0,27,3,13,13,0,0,0,0
2020-08-02 22:26:45+00:00,31,0,0,0,0,0,10,0,13,0,12,11,11,0,39,5,0,0,24,0,0,0,0,0,81,10,0,6,12,0,0,16,23,0,0,0,0
2020-08-01 22:28:40+00:00,6,1,0,0,0,11,0,0,0,0,11,8,9,14,130,0,1,0,0,0,3,0,0,0,65,12,0,3,37,29,8,23,15,0,0,0,0
