,admin1Name_en,total_confirmed,new_confirmed,total_discharged,new_dicharged,total_deaths,new_deaths,total_active,date
0,Abia,2,0,0,0,0,0,2,2020-05-02
1,Abia,2,0,1,1,0,0,1,2020-05-03
2,Abia,2,0,1,0,0,0,1,2020-05-04
3,Abia,2,0,1,0,0,0,1,2020-05-05
4,Abia,2,0,1,0,0,0,1,2020-05-06
5,Abia,2,0,1,0,0,0,1,2020-05-07
6,Abia,2,0,1,0,0,0,1,2020-05-08
7,Abia,2,0,1,0,0,0,1,2020-05-09
8,Abia,2,0,1,0,0,0,1,2020-05-10
9,Abia,2,0,1,0,0,0,1,2020-05-11
10,Abia,2,0,1,0,0,0,1,2020-05-12
11,Abia,2,0,1,0,0,0,1,2020-05-13
12,Abia,2,0,1,0,0,0,1,2020-05-14
13,Abia,2,0,1,0,0,0,1,2020-05-15
14,Abia,2,0,1,0,0,0,1,2020-05-16
15,Abia,5,3,1,0,0,0,4,2020-05-17
16,Abia,5,0,1,0,0,0,4,2020-05-18
17,Abia,5,0,1,0,0,0,4,2020-05-19
18,Abia,7,2,1,0,0,0,6,2020-05-20
19,Abia,7,0,1,0,0,0,6,2020-05-21
20,Abia,7,0,1,0,0,0,6,2020-05-22
21,Abia,7,0,1,0,0,0,6,2020-05-23
22,Abia,7,0,1,0,0,0,6,2020-05-24
23,Abia,7,0,3,2,0,0,4,2020-05-25
24,Abia,8,1,3,0,0,0,5,2020-05-26
25,Abia,10,2,3,0,0,0,7,2020-05-27
26,Abia,10,0,3,0,0,0,7,2020-05-28
27,Abia,10,0,3,0,0,0,7,2020-05-30
28,Abia,10,0,3,0,0,0,7,2020-05-31
29,Abia,15,5,7,4,0,0,8,2020-06-01
30,Abia,15,0,7,0,0,0,8,2020-06-03
31,Abia,15,0,7,0,0,0,8,2020-06-04
32,Abia,15,0,7,0,0,0,8,2020-06-05
33,Abia,16,1,7,0,0,0,9,2020-06-06
34,Abia,83,67,7,0,0,0,76,2020-06-07
35,Abia,83,0,7,0,0,0,76,2020-06-08
36,Abia,97,14,7,0,0,0,90,2020-06-09
37,Abia,97,0,16,9,0,0,81,2020-06-10
38,Abia,97,0,16,0,0,0,81,2020-06-11
39,Abia,151,0,18,2,0,0,133,2020-06-13
40,Abia,166,15,20,2,0,0,146,2020-06-14
41,Abia,173,7,20,0,0,0,153,2020-06-15
42,Abia,173,0,20,0,0,0,153,2020-06-16
43,Abia,173,0,20,0,0,0,153,2020-06-17
44,Abia,173,0,20,0,0,0,153,2020-06-18
45,Abia,221,48,93,73,3,3,125,2020-06-19
46,Abia,221,0,93,0,3,0,125,2020-06-20
47,Abia,222,1,93,0,3,0,126,2020-06-21
48,Abia,232,10,93,0,3,0,136,2020-06-22
49,Abia,252,20,93,0,3,0,156,2020-06-23
50,Abia,280,28,173,80,3,0,104,2020-06-24
51,Abia,288,8,173,0,3,0,112,2020-06-25
52,Abia,297,9,173,0,3,0,121,2020-06-26
53,Abia,302,5,173,0,3,0,126,2020-06-27
54,Abia,302,0,207,34,3,0,92,2020-06-28
55,Abia,302,0,207,0,3,0,92,2020-06-29
56,Abia,310,8,207,0,3,0,100,2020-06-30
57,Abia,320,10,207,0,3,0,110,2020-07-01
58,Abia,351,31,207,0,3,0,141,2020-07-02
59,Abia,382,31,207,0,3,0,172,2020-07-03
60,Abia,383,1,218,11,3,0,162,2020-07-04
61,Abia,385,2,218,0,3,0,164,2020-07-05
62,Abia,400,0,218,0,3,0,179,2020-07-08
63,Abia,401,1,265,47,3,0,133,2020-07-09
64,Abia,402,1,265,0,3,0,134,2020-07-10
65,Abia,405,3,295,30,3,0,107,2020-07-11
66,Abia,405,0,295,0,3,0,107,2020-07-12
67,Abia,405,0,295,0,3,0,107,2020-07-13
68,Abia,413,8,295,0,3,0,115,2020-07-14
69,Abia,413,0,295,0,3,0,115,2020-07-15
70,Abia,456,43,365,70,3,0,88,2020-07-16
71,Abia,460,4,365,0,3,0,92,2020-07-17
72,Abia,479,19,365,0,3,0,111,2020-07-18
73,Abia,479,0,365,0,3,0,111,2020-07-19
74,Abia,526,47,391,26,3,0,132,2020-07-20
75,Abia,526,0,391,0,3,0,132,2020-07-21
76,Abia,527,1,391,0,4,1,132,2020-07-22
77,Abia,527,0,391,0,4,0,132,2020-07-23
78,Abia,527,0,391,0,4,0,132,2020-07-24
79,Abia,536,9,426,35,4,0,106,2020-07-25
80,Abia,536,0,426,0,4,0,106,2020-07-26
81,Abia,545,9,426,0,5,1,114,2020-07-27
82,Abia,545,0,426,0,5,0,114,2020-07-28
83,Abia,545,0,426,0,5,0,114,2020-07-29
84,Abia,545,0,426,0,5,0,114,2020-07-30
85,Abia,545,0,426,0,5,0,114,2020-07-31
86,Abia,551,6,471,45,5,0,75,2020-08-01
87,Abia,582,31,471,0,5,0,106,2020-08-02
88,Abia,602,20,471,0,5,0,126,2020-08-03
89,Abia,602,0,471,0,5,0,126,2020-08-04
90,Abia,625,23,517,46,5,0,103,2020-08-05
91,Abia,625,0,517,0,5,0,103,2020-08-06
92,Abia,625,0,517,0,5,0,103,2020-08-07
93,Abia,644,19,517,0,5,0,122,2020-08-08
94,Abia,644,0,517,0,5,0,122,2020-08-09
95,Abia,644,0,517,0,5,0,122,2020-08-10
96,Abia,663,0,517,0,5,0,141,2020-08-12
97,Abia,677,14,546,29,5,0,126,2020-08-13
